budget,revenue,popularity,country,vote_average,rtAllCriticsRating
7200000,116019547,34.634181,United Kingdom,6.3,6.4
7200000,116019547,34.634181,United States of America,6.3,6.4
2000000,5364858,15.351412,United States of America,5.4,6.1
13000000,275e5,4.742537,Canada,5.7,6.3
13000000,275e5,4.742537,France,5.7,6.3
13000000,275e5,4.742537,United States of America,5.7,6.3
47000000,103738726,7.859226,United States of America,5.9,5.7
140000000,431971116,54.159392,United Kingdom,5.8,6.1
140000000,431971116,54.159392,United States of America,5.8,6.1
28000000,140767956,66.169628,United States of America,7.5,8.1
90000000,366101666,51.881077,United States of America,6.9,5.7
7500000,19e6,25.281197,Germany,7.5,5.8
127500000,354248063,26.548594,United States of America,6.2,6.2
25000000,14109284,16.238961,United States of America,3,1.8
55000000,214015089,15.064058,United States of America,5.9,5.7
20000000,117760134,31.690456,United States of America,6.6,6.2
15000000,17507368,9.378688,Australia,5.5,4.4
15000000,17507368,9.378688,United States of America,5.5,4.4
6500000,37295445,15.580335,United States of America,7.6,8.8
21000000,480314,12.790408,Germany,5,4.5
21000000,480314,12.790408,United Kingdom,5,4.5
21000000,480314,12.790408,United States of America,5,4.5
71000000,294456605,21.462935,United States of America,5.4,5.2
11000000,111858363,12.854853,Italy,7.4,7.2
11000000,111858363,12.854853,United States of America,7.4,7.2
10000000,30652890,14.543435,United States of America,6.8,6.3
75000000,54249294,8.41856,United States of America,5.4,4
25000000,222e5,8.870614,United States of America,6.2,5.8
50000000,100020092,11.596207,Australia,6,4.4
50000000,100020092,11.596207,United States of America,6,4.4
35000000,41954997,40.370442,United States of America,7.4,7.8
6000000,1270522,61.210016,United States of America,7.7,7.5
60000000,55987321,29.261348,Czech Republic,5,3.9
60000000,55987321,29.261348,Germany,5,3.9
60000000,55987321,29.261348,United Kingdom,5,3.9
60000000,55987321,29.261348,United States of America,5,3.9
30000000,22211426,21.538222,Germany,5.8,5
30000000,22211426,21.538222,United Kingdom,5.8,5
30000000,22211426,21.538222,United States of America,5.8,5
30000000,22211426,21.538222,South Africa,5.8,5
15000000,30102717,10.484642,United States of America,5.3,3.5
70000000,177841558,19.439386,Canada,6.2,4.4
70000000,177841558,19.439386,United States of America,6.2,4.4
20000000,50907234,20.975165,United States of America,7,6.9
8000000,852872,7.433574,United States of America,5.9,6
70000000,176104344,13.543053,United States of America,4.9,4.9
950000,596e5,48.901542,Jamaica,6.9,7.6
950000,596e5,48.901542,United Kingdom,6.9,7.6
1800000,9440272,41.996783,United Kingdom,8,9
1800000,9440272,41.996783,United States of America,8,9
40000000,215862692,45.022964,United States of America,7.1,7.7
60000000,52322400,8.927137,Germany,6.1,3.6
60000000,52322400,8.927137,United States of America,6.1,3.6
57000000,115267375,31.791979,United States of America,6.4,5.7
18000000,14110013,3.258422,United Kingdom,6.5,6.1
70000000,154937680,14.486311,United States of America,6.6,7.2
2000000,7,0.11615,United Kingdom,8,4.8
2000000,7,0.11615,United States of America,8,4.8
6500000,31899e3,11.208769,United States of America,6.8,6.2
94000000,54744738,8.468586,Australia,4.5,3.6
94000000,54744738,8.468586,Canada,4.5,3.6
94000000,54744738,8.468586,United States of America,4.5,3.6
7500000,145793296,19.585801,United States of America,7,7
16000000,15427192,3.021835,United States of America,5.4,4.4
20000000,57588485,4.748929,United States of America,6.2,6.7
6000000,204e5,7.60445,United States of America,6.2,6.5
19000000,39267515,15.67747,United States of America,4.1,2.8
40000000,30925690,25.876582,United States of America,6.5,6.1
40000000,19322135,15.590001000000001,Germany,5.9,5
40000000,19322135,15.590001000000001,United States of America,5.9,5
80000000,178066569,46.887983,United States of America,6.3,4.6
80000000,178066569,46.887983,Germany,6.3,4.6
3800000,282e5,3.667372,United Kingdom,6.5,7.2
51500000,55112356,35.481169,United Kingdom,7.2,7.6
51500000,55112356,35.481169,United States of America,7.2,7.6
51500000,55112356,35.481169,Canada,7.2,7.6
18000000,5887457,24.548633,United States of America,7.3,7.9
20000000,53e6,47.51363,United States of America,7.5,7.6
40000000,120455994,24.287306,United States of America,6.7,6.5
19000000,83258226,90.809408,Spain,7.6,8.6
19000000,83258226,90.809408,United States of America,7.6,8.6
19000000,83258226,90.809408,Mexico,7.6,8.6
43000000,56681566,28.613892,Canada,4.8,3.7
43000000,56681566,28.613892,United States of America,4.8,3.7
32000000,173398518,16.901954,United States of America,6.4,6.9
32000000,173398518,16.901954,Germany,6.4,6.9
30000000,82150642,14.179538,United States of America,7.1,7.3
55000000,74237563,15.274137,United Kingdom,6.6,5.1
57000000,52034889,22.894898,United States of America,6.1,4.6
31000000,27388767,22.71592,Ireland,5.9,5.6
31000000,27388767,22.71592,United Kingdom,5.9,5.6
3000000,104e5,6.734965,United States of America,7.3,7.8
12000000,38368909,9.559737,United States of America,5.3,4
85000000,340487652,29.21998,United States of America,6.6,7.3
100000000,211989043,20.652943,United States of America,5.5,3.7
20000000,34077920,27.256849,United States of America,6.7,3.9
68000000,96976270,41.273567,Ireland,7.2,5.6
68000000,96976270,41.273567,United States of America,7.2,5.6
68000000,96976270,41.273567,Germany,7.2,5.6
68000000,96976270,41.273567,United Kingdom,7.2,5.6
90000000,250649836,41.207568,United States of America,6.7,6.4
38000000,51801187,11.500783,United States of America,6.2,4
66000000,212404396,25.877794,United Kingdom,6,5.2
66000000,212404396,25.877794,United States of America,6,5.2
20000000,86865564,6.064638,United States of America,3.2,2.3
20000000,5359645,44.566609,United States of America,6.9,4.8
100000000,242295562,24.507987,Canada,5.6,4.9
100000000,242295562,24.507987,United States of America,5.6,4.9
10000,7e6,20.399578,United States of America,7.5,7.9
52000000,256271286,30.347332,United States of America,7.1,7.3
8000000,43e6,26.356697,United States of America,7.2,7
50000000,42277365,21.637234,United States of America,5.6,5.6
6000000,50244700,24.351305,United States of America,6.9,6.8
2500000,12348905,18.30961,United States of America,6.3,5.7
20000000,72258126,56.481487,United States of America,7.9,8.3
175000000,173e6,27.082182,United States of America,5.3,4.5
60000000,26673242,29.787135,United Kingdom,6.5,4.3
60000000,26673242,29.787135,United States of America,6.5,4.3
55000000,203427584,60.246978,Iceland,6.7,7.7
55000000,203427584,60.246978,United States of America,6.7,7.7
55000000,203427584,60.246978,United Kingdom,6.7,7.7
3600000,5923044,35.674774,United States of America,7.6,7.8
55000000,141047179,7.027139,United States of America,5.9,6.5
55000000,141047179,7.027139,Hungary,5.9,6.5
55000000,121969216,17.231675,United States of America,5.8,6
15000000,2856712,21.928025,Canada,6.7,6.7
15000000,2856712,21.928025,France,6.7,6.7
15000000,2856712,21.928025,United Kingdom,6.7,6.7
50000000,79958599,12.601306,Canada,5.3,4.4
50000000,79958599,12.601306,United States of America,5.3,4.4
14000000,30749142,11.543363,United States of America,4.5,3.6
80000000,78000586,15.761384,United States of America,4.7,3.6
38000000,17380126,3.426555,United States of America,5.7,6
40000000,10959475,2.911819,United States of America,5,2.9
65000000,162091208,27.870312,United Kingdom,7.1,7.3
65000000,162091208,27.870312,United States of America,7.1,7.3
80000000,245676146,46.075037,United States of America,6.8,7.9
100000,10178331,4.563698,United States of America,6.6,4.1
6000000,119114517,16.20985,United States of America,6.8,7.3
50000000,88715192,18.806031,United States of America,5.5,4.6
22000000,24188922,12.54949,United States of America,6.5,2.4
22000000,24188922,12.54949,United Arab Emirates,6.5,2.4
13000000,9789900,1.647335,United States of America,4.8,3.8
2000000,79e5,3.832858,United States of America,6.7,7
2280000,8332e4,32.875469,United States of America,7.2,8.5
120000000,167977596,38.126095,United States of America,4.4,4.5
13500000,29027914,9.982885,United States of America,6.9,8.1
4500000,27092880,20.403344,United States of America,7,6.7
14000000,320145693,16.742972,United States of America,6.6,6.8
18500000,10680275,44.511363,United States of America,7.2,5.8
35000000,16838910,9.07278,Switzerland,6.2,5.4
35000000,16838910,9.07278,France,6.2,5.4
30000000,50451307,9.965073,Germany,5.9,6.2
30000000,50451307,9.965073,United States of America,5.9,6.2
9000000,83304330,7.623979,United States of America,7.4,7.8
8000000,426224,5.244518,Canada,6.6,6.4
63000000,100853753,146.757391,Germany,8.3,7.3
63000000,100853753,146.757391,United States of America,8.3,7.3
23000000,53302314,38.799596,United States of America,6.4,4.6
26000000,90426405,37.355826,United States of America,5.9,5
25000000,117719158,31.64341,Canada,5.8,5.1
25000000,117719158,31.64341,Germany,5.8,5.1
25000000,117719158,31.64341,United States of America,5.8,5.1
137000000,85131830,26.074908,Japan,5.9,5.2
137000000,85131830,26.074908,United States of America,5.9,5.2
13000000,2636637,12.321302,Germany,6.5,6
13000000,2636637,12.321302,United States of America,6.5,6
43000000,80049764,19.043286,United States of America,7,6.5
94000000,940335536,85.688789,United States of America,7.6,8.5
25000000,116766556,34.160448,United Kingdom,7.2,7.4
25000000,116766556,34.160448,United States of America,7.2,7.4
18000000,70687344,8.700565,United States of America,5.5,5.2
500000,33456317,6.093989,United States of America,7,4.4
15000000,17080167,11.379652,United States of America,5.9,5
45000000,828e5,18.186026,United States of America,5.6,4.6
45000000,828e5,18.186026,Australia,5.6,4.6
15000000,125212904,63.071046,United States of America,7.2,7.1
55000000,127600435,19.143321,United States of America,5.9,5.2
300000,40542,0.374291,United States of America,3,6.1
90000000,65900249,23.9366,United States of America,6.7,7
35000000,27107960,12.343507,United States of America,6.1,6.3
4000000,92921203,18.422323,United States of America,6.1,4.7
26000000,61489265,24.114459,United States of America,6.3,5.3
25000000,17193231,2.77255,United States of America,5.2,4.3
15000000,21e6,3.043589,United Kingdom,6.1,5.7
15000000,21e6,3.043589,United States of America,6.1,5.7
45000000,21009180,20.374308,United States of America,5.7,4.8
55000000,223387299,32.05145,United States of America,6.1,5.3
25530000,20080020,4.475007,United States of America,5.3,4.8
7000000,14702438,5.500324,United States of America,6.3,7.4
80000000,177977226,11.50396,United States of America,5.3,3.7
149000000,64459316,22.550135,United Kingdom,6,6.7
149000000,64459316,22.550135,United States of America,6,6.7
60000000,178e5,13.155999,United Kingdom,6.3,4.9
60000000,178e5,13.155999,United States of America,6.3,4.9
70000000,111231041,21.789615,United States of America,5.4,3.6
8200000,80035402,25.03414,United States of America,6.4,5.6
12000000,5542025,4.330428,United States of America,5.9,5.8
28000000,195312802,26.090746,United Kingdom,6.3,6.2
28000000,195312802,26.090746,United States of America,6.3,6.2
5000000,723e4,5.348446,United Kingdom,6.4,6.1
30000000,105173115,50.670253,United States of America,6.4,7
55000000,677945399,138.133331,United States of America,8.2,6.9
80000000,163733697,19.500893,United States of America,5.3,4.3
4000000,43e5,22.87623,United States of America,6.5,3.5
6000000,254700832,29.834065,United Kingdom,6.6,7.5
11000000,13110448,16.003958,Germany,7,6.9
11000000,13110448,16.003958,Italy,7,6.9
11000000,13110448,16.003958,United States of America,7,6.9
26000000,110230332,24.345651,United States of America,6,7
30000000,114908830,26.69592,Canada,5.8,4.9
30000000,114908830,26.69592,Italy,5.8,4.9
30000000,114908830,26.69592,United States of America,5.8,4.9
11000000,34872033,16.856231,United States of America,5.1,3.9
21000000,41170784,17.746981,Germany,7.5,6.3
21000000,41170784,17.746981,United States of America,7.5,6.3
3500000,126e5,10.219942,United Kingdom,7.1,7.4
31000000,68106245,19.258041,United States of America,7,6.5
12000000,56298474,18.422327,Mexico,7.3,6.9
12000000,56298474,18.422327,United States of America,7.3,6.9
12000000,56298474,18.422327,Canada,7.3,6.9
20000000,33526835,7.499639,United States of America,6,4.1
1250000,21722776,16.517777,United States of America,6,4.4
4000000,36690067,14.206525,United States of America,5.7,3.5
2800000,19170001,9.070842,United States of America,5.3,4.5
5000000,14e6,12.904615,United States of America,4.8,2.9
2200000,21930418,12.639469,United States of America,5.1,3.3
2600000,32980880,14.013414,United States of America,5.9,4.3
17000000,24922237,18.27083,United Kingdom,6,7.3
17000000,24922237,18.27083,United States of America,6,7.3
19000000,25836616,64.181668,United States of America,6.9,6
35000000,74558115,26.134678,Czech Republic,6.6,5.7
35000000,74558115,26.134678,United Kingdom,6.6,5.7
1650000,305e5,6.915201,United States of America,7.2,8
12000000,4922166,1.623338,United States of America,3,2.8
2000000,78898765,41.298723,United Kingdom,6.9,7.9
2000000,2506446,1.95686,United States of America,4.8,5.2
100000000,202026112,25.159168,United States of America,5.9,4.9
16800000,2281089,4.358255,United States of America,5.8,4.9
50000000,48169156,19.434672,United States of America,6,6
175000000,302469017,32.852443,Czech Republic,5.6,4.6
175000000,302469017,32.852443,United States of America,5.6,4.6
5500000,4865e3,2.141143,United States of America,3.3,3.6
45000000,90683916,30.816341,United States of America,6.9,7.2
22000000,77737889,35.227212,India,7.4,7.7
22000000,77737889,35.227212,United Kingdom,7.4,7.7
100000000,193772504,46.160048,United States of America,7.1,7.1
100000000,193772504,46.160048,Italy,7.1,7.1
2500000,26781723,30.583959,United States of America,7.1,7.4
50000000,200804534,17.667826,United States of America,5.2,3.5
36000000,12532777,70.398356,United States of America,7.5,7.1
2000000,78e5,5.381536,United States of America,6.8,7
63600000,19412993,4.494788,United States of America,4.8,3.6
2400000,5731103,4.623059,United States of America,7,7.5
40000000,46442528,12.885985,United States of America,6.3,4.4
30250000,115101622,15.585138,United States of America,6.4,7.7
80000000,230685453,23.496054,Canada,6,5.5
80000000,230685453,23.496054,Russia,6,5.5
80000000,230685453,23.496054,United States of America,6,5.5
22000000,505e6,41.967005,United States of America,6.9,6.8
110000000,228738393,46.834704,United States of America,5.2,4.3
110000000,228738393,46.834704,Australia,5.2,4.3
35000000,68349884,27.724913,Australia,5.3,3.8
35000000,68349884,27.724913,United States of America,5.3,3.8
28000000,14010832,13.145205,United States of America,4.8,3.6
12000000,4939939,2.993939,United States of America,5.7,4.6
103000000,457640427,95.301296,United Kingdom,7.9,7
103000000,457640427,95.301296,United States of America,7.9,7
12500000,10725228,13.939054,United States of America,7.5,8.5
22000000,5271666,3.809131,United States of America,3.4,2.8
18000000,26828365,16.102271000000002,United States of America,7.4,7.9
6500000,28451622,11.142389,United States of America,7,7.6
56000000,12923936,4.362535,United States of America,6.1,3.5
10000000,6451628,5.588652,United Kingdom,6.8,8.4
10000000,6451628,5.588652,United States of America,6.8,8.4
25000000,30114487,12.10235,Canada,4.7,3.4
25000000,30114487,12.10235,United States of America,4.7,3.4
32000000,42045846,13.611544,United States of America,6,2.8
58000000,352194034,59.824565,United Kingdom,6.6,6.8
58000000,352194034,59.824565,United States of America,6.6,6.8
2500000,124881062,47.812466,United Kingdom,7.2,8.4
2500000,124881062,47.812466,United States of America,7.2,8.4
90000000,237202299,52.995628,United States of America,6.1,4.4
4000000,400176459,48.98255,United States of America,7.7,8.7
25000000,59192128,21.729434,Canada,5.5,2.8
25000000,59192128,21.729434,United States of America,5.5,2.8
13000000,123922370,18.362333,United States of America,7.1,7.3
7000000,546e5,17.717681,France,6.8,8.1
7000000,546e5,17.717681,Japan,6.8,8.1
7000000,546e5,17.717681,United Kingdom,6.8,8.1
7000000,546e5,17.717681,United States of America,6.8,8.1
10000000,225933435,43.734886,Canada,7.9,8
10000000,225933435,43.734886,United States of America,7.9,8
19800000,87754044,11.693272,Germany,6.8,7.5
19800000,87754044,11.693272,United Kingdom,6.8,7.5
19800000,87754044,11.693272,United States of America,6.8,7.5
14000000,5108820,5.833687,United States of America,5.5,4.4
40000000,141591324,27.303608,United States of America,5.8,4.1
9000000,2955039,2.365328,United States of America,6,5.8
33000000,269958228,50.7453,United States of America,7.8,7.1
33000000,269958228,50.7453,Germany,7.8,7.1
6000000,181813770,67.608041,United States of America,7.2,6.7
11000000,153083102,45.072136,United States of America,6.9,6.8
50000000,41482207,33.98637,United States of America,6.2,6.4
30000000,41480851,9.278361,United States of America,6.5,5.6
67000000,25037897,16.637642,United States of America,6.8,7.4
14600000,70906973,52.744331,United States of America,7.4,7.9
35000000,68915888,3.74263,United States of America,5.5,5.4
112000000,237382724,22.845143,United States of America,4.9,6.6
10000000,1631839,3.988432,United States of America,5.4,4.5
20000000,7563728,17.842246,United States of America,6.2,4.7
50000000,90450008,31.160542,United Kingdom,6.5,7.7
50000000,90450008,31.160542,United States of America,6.5,7.7
8000000,17460020,7.894489,United States of America,6.4,4.2
700000,4911725,12.378031,United States of America,6.5,7.6
300000,7e7,30.301307,United States of America,7.4,4.1
5000000,17768757,9.302349,United States of America,5.9,3.8
15000000,39421467,12.929525,United States of America,5.1,4.3
2500000,144e5,12.030456,United States of America,5,4.2
13000000,37664855,11.045593,United States of America,4.5,3.4
5000000,15116634,9.483717,United States of America,5,2.5
150000000,624029371,56.758411,United States of America,6.2,5.4
50000000,82169884,6.567065,United Kingdom,6,3.9
50000000,82169884,6.567065,Czech Republic,6,3.9
50000000,82169884,6.567065,France,6,3.9
50000000,82169884,6.567065,Italy,6,3.9
47000000,38085778,10.410933,Germany,4.6,3
47000000,38085778,10.410933,United States of America,4.6,3
3000000,2807390,10.757539,United States of America,7.4,7.9
100000000,384335608,37.272385,Australia,5.9,6.9
12000000,41205099,26.598884,United States of America,6.5,5.5
1700000,1943649,2.079125,United States of America,5.5,6.7
950000,7022209,25.918007,United States of America,6.8,6.4
23000000,7434726,12.869436,United States of America,6.1,3.6
12000000,43493123,26.219598,United States of America,6.2,5.6
9000000,23936908,18.514292,United States of America,6.6,6.5
3500000,12e6,2.938973,United States of America,6.2,7.1
100000000,876688482,132.397737,Germany,7.4,7.1
100000000,876688482,132.397737,United Kingdom,7.4,7.1
100000000,876688482,132.397737,United States of America,7.4,7.1
150000000,895921036,101.250416,United Kingdom,7.5,7.4
150000000,895921036,101.250416,United States of America,7.5,7.4
150000000,938212738,78.144395,United Kingdom,7.4,6.8
150000000,938212738,78.144395,United States of America,7.4,6.8
2000000,5967038,12.999023,United States of America,6.3,5.5
70000000,32287044,14.244518,United States of America,5.9,5.9
25000000,21567853,10.232599,United States of America,6.7,6.9
40000000,177259441,26.253357,Netherlands,6.2,5.2
40000000,177259441,26.253357,United States of America,6.2,5.2
40000000,177259441,26.253357,Germany,6.2,5.2
14000000,10424470,4.66723,United States of America,5.3,3.3
10000000,2154696,0.518056,United States of America,3.8,1.6
31000000,24185781,7.06762,Australia,6.4,5.7
31000000,24185781,7.06762,United States of America,6.4,5.7
44000000,3484331,5.380124,United States of America,6.4,5
5000000,3049135,8.753409,New Zealand,7,8.3
8900000,41e5,15.079993,United States of America,5.6,6.2
3950000,8e6,8.484123,United States of America,6.1,7.3
66000000,99318987,47.479755,United States of America,6.5,6.8
85000000,160388063,58.57976,Germany,6.5,7.2
85000000,160388063,58.57976,United States of America,6.5,7.2
1000000,14564027,22.583834,United Kingdom,6.9,5.9
50000000,66002004,12.050755,United States of America,5.1,5.4
100000000,2434e5,76.842247,United States of America,5.6,7
100000000,108103450,16.759252,United States of America,6.5,5.6
100000000,108103450,16.759252,Morocco,6.5,5.6
25000000,122644820,18.228538,United States of America,6.1,3.8
3400000,31063038,5.690619,United States of America,6.5,6.4
30000000,47126295,23.982956,United Kingdom,7,7.6
30000000,47126295,23.982956,United States of America,7,7.6
730000,8e6,18.644023,United States of America,7.6,8.8
5500000,157e5,19.127239,United States of America,7.4,7.7
16000000,59e5,29.253833,United Kingdom,6.8,5.9
16000000,59e5,29.253833,United States of America,6.8,5.9
25000000,15843608,11.782725,United States of America,4.4,3.3
11000000,31672907,14.282314,United States of America,6.5,5.6
70000000,368100420,34.576913,United States of America,6.4,6.3
28000000,39514713,18.650748,United States of America,6.4,4.1
95000000,190213455,28.200874,Germany,5.6,4.4
95000000,190213455,28.200874,United States of America,5.6,4.4
75000000,51142659,10.605084,United States of America,5,4.7
18000000,476684675,2.186927,United States of America,7.1,5
18000000,358991681,81.487685,United States of America,6.3,3.6
15000000,10443316,3.033471,United States of America,4.8,4.8
110000000,103951461,19.625972,United States of America,5.7,5.7
18000000,62646763,18.492655,United States of America,6,4.1
15000000,51053787,23.980329,United States of America,5.9,5.5
70000000,300854823,33.648404,United States of America,6.6,4.3
700000,7830611,9.188431,United States of America,7.7,8.5
30000000,114281051,12.967137,United States of America,5.8,4.5
52000000,77944725,23.663713,Germany,6.2,5
52000000,77944725,23.663713,United States of America,6.2,5
4800000,80578934,38.83192,United States of America,5.7,5.8
10200000,35619521,20.745052,United States of America,5.6,5.1
12000000,80573774,38.623178,United Kingdom,7.4,7.7
17500000,38e6,28.60542,Canada,7.5,7.9
17500000,38e6,28.60542,United Kingdom,7.5,7.9
17500000,38e6,28.60542,United States of America,7.5,7.9
17500000,38e6,28.60542,Italy,7.5,7.9
17500000,38e6,28.60542,South Africa,7.5,7.9
7000000,16829545,19.301432,United States of America,6,3.3
16500000,16942795,12.102725,United States of America,7,7.1
40000000,68766121,17.157738,United States of America,5.5,4.3
19000000,40846082,13.664614,United States of America,5.5,4.4
1250000,6e6,7.70019,United States of America,6.8,7.8
12000000,31155435,11.510281,United States of America,6.3,3.8
20000000,37672350,2.003047,United States of America,6,5.5
123000000,345141403,45.419668,Germany,6.2,5.6
123000000,345141403,45.419668,United States of America,6.2,5.6
50000000,177371441,23.854701,Germany,6.3,5
50000000,177371441,23.854701,United States of America,6.3,5
27000000,17286299,16.785866,United Kingdom,6.2,5
37000000,37962774,11.374306,United States of America,5.1,2.5
2500000,1e7,6.82919,United States of America,7.5,7.2
65000000,17218080,16.803457,United States of America,5.4,3.6
600000,4e6,4.859873,United Kingdom,6.8,6.1
600000,4e6,4.859873,Ireland,6.8,6.1
8000000,23563727,6.39503,United States of America,6.9,7.3
150000000,585349010,70.867401,United States of America,6.9,6.3
22000000,92542418,26.071644,United States of America,7.2,4.6
17000000,125586134,27.654472,United States of America,5.6,5.3
250,203,0.293649,United States of America,7.5,6.1
65000000,40002112,20.793026,United States of America,5.1,3.3
20000000,4001121,13.032308,United States of America,6.6,7
59000000,383257136,99.561972,United States of America,7.1,6.8
80000000,660940780,85.115058,United States of America,6.5,6.1
25000000,27645491,13.288177,United States of America,5.9,5.6
25000000,27645491,13.288177,Canada,5.9,5.6
30000000,90259536,45.915165,United States of America,7.1,6.4
30000000,495303,27.940093,United States of America,6.3,6.5
25000000,4152230,8.583217,United States of America,6.1,3.4
9000000,4777465,2.062087,United States of America,6.5,6.9
15000000,34533783,25.329493,United Kingdom,7.4,7
15000000,34533783,25.329493,United States of America,7.4,7
3500000,13007551,7.821438,United States of America,7.4,8.3
12000000,23,10.536092,Australia,4.6,4.8
12000000,23,10.536092,United States of America,4.6,4.8
10000000,175e5,12.792446,United States of America,5.8,5.4
23000000,29541790,15.676123,United States of America,6.6,7
7000000,14011454,2.772178,United States of America,6.2,4.9
75000000,816969268,60.442593,United States of America,6.7,6.2
185000000,786636033,75.674458,United States of America,5.7,6.9
48000000,474171806,80.972475,United States of America,7.6,7.9
28000000,333e6,66.976776,United States of America,7.1,7.2
13000000,1151330,3.680896,United States of America,6.4,6.8
2000000,653621,3.980072,United States of America,6.8,7
45000000,184376254,45.220386,United States of America,7.3,7.3
46000000,113714830,41.322708,United States of America,6.8,7.7
50000000,44434439,14.723467,United States of America,5.8,4
15000000,56255142,43.644978,United States of America,7.8,7.5
60000000,119940815,22.620125,United States of America,5.8,6.7
12000000,4884663,4.234269,United States of America,5.5,7
55000000,14375181,2.410546,United States of America,4.2,3.4
36000000,3003296,1.068453,United States of America,4.6,4
325000,45e5,11.871424,United States of America,7.7,8.7
3180000,9644124,42.868495,United States of America,8,8.7
2000000,120620,3.911445,Canada,7.1,6.5
2000000,120620,3.911445,United Kingdom,7.1,6.5
11000000,72778712,11.227087,United States of America,6.4,5.8
5000000,64282312,14.752587,United States of America,6.1,5.1
12000000,39673162,40.631671,United States of America,7.3,7.3
72000000,96889998,32.227223,Germany,6.6,6.3
72000000,96889998,32.227223,United States of America,6.6,6.3
3000000,15938065,10.341982,United States of America,4.2,4.1
11000000,16951798,11.220643,United States of America,4.5,3.6
3000000,3076820,4.337685,United States of America,5.9,3.3
7000000,470654e3,50.152327,United States of America,7.5,8.8
23000000,51881013,12.777008,United States of America,3.5,2
22000000,33788161,21.865021,United States of America,6.4,5.6
10000000,59217789,23.316208,Germany,6.1,5.1
10000000,59217789,23.316208,United States of America,6.1,5.1
14000000,2474e3,0.900442,United States of America,5.2,4.9
50000000,273552592,27.039636,United States of America,6.7,7.4
35000000,36098382,14.699342,United States of America,5.8,5.3
40000000,205405498,26.82041,United States of America,7.5,7.5
25000000,80936232,12.739721,United States of America,5.6,6.4
60000000,129832389,22.501041,United States of America,5.5,4
60000000,66976317,21.084542,France,6.2,4.5
17700000,30987695,15.976335,United States of America,5.5,3
36000000,102244770,27.465433,United States of America,7,4.4
40000000,160583018,28.029015,France,6,4.8
40000000,160583018,28.029015,United Kingdom,6,4.8
45000000,101702060,53.090422,United States of America,5.8,6
23000000,36642838,11.183197,United States of America,6.3,6.6
3000000,1e7,13.338539,Germany,7.6,7.7
3000000,1e7,13.338539,United States of America,7.6,7.7
85000000,222231186,21.218,Canada,5.9,4
85000000,222231186,21.218,United States of America,5.9,4
7500000,231411584,19.782725,United States of America,7,8.1
63000000,9201e5,40.413191,United States of America,7.6,7.2
93000000,368780809,1.859364,United States of America,5.7,5.2
58000000,102854431,13.43573,United States of America,6.5,5.7
28000000,38159905,22.074306,United States of America,5.8,3.7
100000000,35168966,15.625949,Canada,6.1,6.1
100000000,35168966,15.625949,Germany,6.1,6.1
100000000,35168966,15.625949,United Kingdom,6.1,6.1
100000000,35168966,15.625949,United States of America,6.1,6.1
48000000,50315140,30.920075,Germany,7.1,5.1
48000000,50315140,30.920075,United Kingdom,7.1,5.1
48000000,50315140,30.920075,United States of America,7.1,5.1
30000000,37036004,8.085872,United States of America,5.9,6.2
45000000,56070433,8.99269,United States of America,5.6,5.1
1500000,7412216,13.291991,United States of America,6.8,5
30000000,152159461,50.622607,United States of America,7.6,7.7
1500000,418961,5.817519,France,6.1,5.1
1500000,418961,5.817519,United States of America,6.1,5.1
15000000,201957688,5.411154,United States of America,5.8,5.1
207000000,55e7,61.22601,New Zealand,6.6,7.7
207000000,55e7,61.22601,United States of America,6.6,7.7
207000000,55e7,61.22601,Germany,6.6,7.7
130000000,211643158,44.490453,Germany,6.6,5.5
130000000,211643158,44.490453,Morocco,6.6,5.5
130000000,211643158,44.490453,Spain,6.6,5.5
130000000,211643158,44.490453,United Kingdom,6.6,5.5
130000000,211643158,44.490453,United States of America,6.6,5.5
500000,17e6,2.537032,United States of America,5.7,5.5
27000000,25023434,17.329269,United States of America,6.7,5.8
15000000,15785148,32.690038,United States of America,7.2,7.4
25000000,64437847,16.936576,France,6.4,5.3
25000000,64437847,16.936576,United States of America,6.4,5.3
27000000,60527873,18.913,United States of America,6.2,5.4
1000000,10013424,3.990215,United States of America,5.9,7
15000000,12e6,8.113634,United States of America,5.9,4.3
28000000,5684789,7.039189,United States of America,6.8,7.3
130000000,631744560,84.689648,United States of America,6.9,7.2
35000000,126216940,24.860326,United States of America,7.7,8.6
6500000,54215416,6.847099,United States of America,6.8,6.8
75000000,42285169,20.219385,United States of America,5.3,4.2
20000000,18432e3,14.370111,United States of America,6.8,5.5
27000000,56870414,11.678561,United States of America,5.5,5
20000000,27640028,20.495749,United States of America,5.9,5.5
15000000,46770602,15.262492,Canada,6,6.6
15000000,46770602,15.262492,France,6,6.6
15000000,46770602,15.262492,United States of America,6,6.6
95000000,156505388,56.811056,United States of America,5.5,4.5
95000000,156505388,56.811056,Germany,5.5,4.5
95000000,156505388,56.811056,Japan,5.5,4.5
95000000,156505388,56.811056,United Kingdom,5.5,4.5
115000000,274703340,41.498631,United States of America,5.7,3.9
12000000,11293663,15.817096,United States of America,7.1,7.1
85000000,137298489,32.044191,United States of America,6.1,4.9
45000000,38399961,6.156015,United States of America,6.4,5.8
850000,819939,5.424916,United States of America,6.7,5.4
15000000,69995385,41.286336,United Kingdom,7.8,8.8
28000000,30016165,6.201404,Germany,5.6,4.5
28000000,30016165,6.201404,Ireland,5.6,4.5
28000000,30016165,6.201404,United Kingdom,5.6,4.5
