budget,revenue,company
55000000,141047179,Cinergi Pictures Entertainment
55000000,121969216,Silver Pictures
55000000,121969216,Warner Bros.
15000000,2856712,Alliance Atlantis Communications
15000000,2856712,Natural Nylon Entertainment
15000000,2856712,Serendipity Point Films
15000000,2856712,Téléfilm Canada
15000000,2856712,The Harold Greenberg Fund
15000000,2856712,The Movie Network
15000000,2856712,Union Générale Cinématographique
15000000,2856712,Canadian Television Fund
50000000,79958599,Village Roadshow Pictures
50000000,79958599,NPV Entertainment
50000000,79958599,Warner Bros.
14000000,30749142,Warner Bros.
80000000,78000586,Morgan Creek Productions
80000000,78000586,Dominion Productions
38000000,17380126,Columbia Pictures
38000000,17380126,Castle Rock Entertainment
38000000,17380126,Simian Films
40000000,10959475,Paramount Pictures
40000000,10959475,Extreme Productions
40000000,10959475,ApolloMedia Distribution
65000000,162091208,Hobby Films
65000000,162091208,Pole Star
65000000,162091208,Stanley Kubrick Productions
65000000,162091208,Warner Bros.
80000000,245676146,Paramount Pictures
80000000,245676146,Permut Presentations
80000000,245676146,WCG Entertainment Productions
80000000,245676146,Douglas/Reuther Productions
80000000,245676146,Touchstone Pictures
80000000,245676146,Krane Entertainment
100000,10178331,Destination Films
6000000,119114517,BIM Distribuzione
6000000,119114517,Fellowship Adventure Group
50000000,88715192,Paramount Pictures
50000000,88715192,Scott Rudin Productions
50000000,88715192,Failure to Launch Productions
22000000,24188922,River Road Entertainment
22000000,24188922,Participant Media
13000000,9789900,New Line Cinema
13000000,9789900,Miramax Films
2000000,79e5,Universal Pictures
2280000,8332e4,Walt Disney Pictures
120000000,167977596,Twentieth Century Fox Film Corporation
120000000,167977596,Marv Films
120000000,167977596,Marvel Entertainment
120000000,167977596,Constantin Film.
120000000,167977596,Moving Picture Company (MPC)
120000000,167977596,TSG Entertainment
120000000,167977596,Genre Films
13500000,29027914,Clear Blue Sky Productions
4500000,27092880,Universal Pictures
4500000,27092880,Refugee Films
14000000,320145693,Paramount Pictures
18500000,10680275,Universal Pictures
18500000,10680275,Summit Entertainment
18500000,10680275,Rhino Films
18500000,10680275,Fear and Loathing LLC
18500000,10680275,Shark Productions
35000000,16838910,Epsilon Motion Pictures
35000000,16838910,Quinta Communications
30000000,50451307,Fox 2000 Pictures
30000000,50451307,Wildgaze Films
30000000,50451307,Alan Greenspan Productions
30000000,50451307,Mars Media Beteiligungs
30000000,50451307,Flower Films (II)
30000000,50451307,ELC Productions Ltd.
9000000,83304330,United Artists
9000000,83304330,Cartier Productions
9000000,83304330,"Mirisch Corporation, The"
8000000,426224,Lions Gate Films
8000000,426224,Astral Media
8000000,426224,Anagram Pictures Inc.
63000000,100853753,Regency Enterprises
63000000,100853753,Fox 2000 Pictures
63000000,100853753,Taurus Film
63000000,100853753,Linson Films
63000000,100853753,Atman Entertainment
63000000,100853753,Knickerbocker Films
23000000,53302314,New Line Cinema
23000000,53302314,Zide-Perry Productions
23000000,53302314,Hard Eight Pictures
26000000,90426405,New Line Cinema
26000000,90426405,Zide-Perry Productions
25000000,117719158,New Line Cinema
25000000,117719158,Zide-Perry Productions
25000000,117719158,Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 1 KG
25000000,117719158,Hard Eight Pictures
25000000,117719158,Matinee Pictures
25000000,117719158,Practical Pictures
137000000,85131830,Columbia Pictures
137000000,85131830,Square USA
137000000,85131830,Chris Lee Productions
13000000,2636637,Yari Film Group
43000000,80049764,Fountainbridge Films
43000000,80049764,Laurence Mark Productions
43000000,80049764,Columbia Pictures Corporation
43000000,80049764,Finding Forrester Productions
94000000,940335536,Pixar Animation Studios
25000000,116766556,Miramax Films
25000000,116766556,Film Colony
18000000,70687344,Malpaso Productions
500000,33456317,Carmel Entertainment
500000,33456317,Provident Films
500000,33456317,Samuel Goldwyn Films
500000,33456317,Affirm Films
500000,33456317,Sherwood Pictures
15000000,17080167,Universal Pictures
15000000,17080167,Dino De Laurentiis Company
45000000,828e5,Village Roadshow Pictures
45000000,828e5,Thunder Road Pictures
45000000,828e5,Warner Bros.
45000000,828e5,Beacon Pictures
45000000,828e5,Jon Shestack Productions
15000000,125212904,Orion Pictures
55000000,127600435,Columbia Pictures Corporation
55000000,127600435,First Knight Productions
300000,40542,Forensic Films
300000,40542,Toast Films
90000000,65900249,DreamWorks SKG
90000000,65900249,Amblin Entertainment
90000000,65900249,Malpaso Productions
90000000,65900249,Warner Bros.
35000000,27107960,Dino De Laurentiis Company
35000000,27107960,Starling Films
4000000,92921203,Paramount Pictures
26000000,61489265,Columbia Pictures Corporation
26000000,61489265,Stonebridge Entertainment
25000000,17193231,Metro-Goldwyn-Mayer (MGM)
15000000,21e6,Twentieth Century Fox Film Corporation
15000000,21e6,Fox 2000 Pictures
15000000,21e6,Zucker/Netter Productions
45000000,21009180,Twentieth Century Fox Film Corporation
45000000,21009180,Davis Entertainment
45000000,21009180,Aldrich Group
45000000,21009180,Optional Pictures
55000000,223387299,Imagine Entertainment
55000000,223387299,Touchstone Pictures
25530000,20080020,Universal Pictures
25530000,20080020,The Bubble Factory
25530000,20080020,American Films
7000000,14702438,Miramax Films
80000000,177977226,Walt Disney Pictures
80000000,177977226,Great Oaks Entertainment
149000000,64459316,Aardman Animations
149000000,64459316,DreamWorks Animation
60000000,178e5,Ingenious Film Partners
60000000,178e5,Electric Entertainment
60000000,178e5,Skydance Productions
60000000,178e5,Flyboys Films
70000000,111231041,De Line Pictures
70000000,111231041,Warner Bros.
8200000,80035402,Paramount Pictures
8200000,80035402,IndieProd Company Productions
12000000,5542025,Shangri-La Entertainment
28000000,195312802,United Artists
28000000,195312802,Eon Productions
5000000,723e4,Columbia Pictures Corporation
30000000,105173115,Universal Pictures
30000000,105173115,Apatow Productions
55000000,677945399,Paramount Pictures
80000000,163733697,New Line Cinema
80000000,163733697,Spyglass Entertainment
80000000,163733697,Type A Films
80000000,163733697,Ott Medien
80000000,163733697,Wild West Picture Show Productions
4000000,43e5,Miramax Films
4000000,43e5,A Band Apart
6000000,254700832,Channel Four Films
6000000,254700832,PolyGram Filmed Entertainment
6000000,254700832,Working Title Films
11000000,13110448,Cinerenta Medienbeteiligungs KG
11000000,13110448,American Entertainment Partners L.P.
11000000,13110448,David Kirschner Productions
26000000,110230332,Walt Disney Pictures
26000000,110230332,Gunn Films
26000000,110230332,Casual Friday Productions
30000000,114908830,New Line Cinema
30000000,114908830,Cecchi Gori Group Tiger Cinematografica
30000000,114908830,Avery Pix
30000000,114908830,Sean S. Cunningham Films
30000000,114908830,Crystal Lake Entertainment
30000000,114908830,WTC Productions
30000000,114908830,Yannix Technology Corporation
11000000,34872033,New Line Cinema
21000000,41170784,Double Feature Films
21000000,41170784,Jersey Films
21000000,41170784,Kernos Filmproduktionsgesellschaft & Company
3500000,126e5,Universal Pictures
31000000,68106245,New Line Cinema
12000000,56298474,Miramax Films
12000000,56298474,Lions Gate Films
12000000,56298474,Ventanarosa Productions
12000000,56298474,Handprint Entertainment
20000000,33526835,New Line Cinema
1250000,21722776,Paramount Pictures
1250000,21722776,"Georgetown Productions, Inc."
4000000,36690067,Paramount Pictures
4000000,36690067,Jason Productions
2800000,19170001,Paramount Pictures
5000000,14e6,Paramount Pictures
5000000,14e6,Sean S. Cunningham Films
5000000,14e6,Horror Inc.
2200000,21930418,Paramount Pictures
2200000,21930418,Georgetown Productions Inc.
2600000,32980880,Paramount Pictures
2600000,32980880,"Friday Four, Inc."
17000000,24922237,Touchstone Pictures
19000000,25836616,A Band Apart
19000000,25836616,Dimension Films
19000000,25836616,Los Hooligans Productions
19000000,25836616,Miramax
35000000,74558115,Twentieth Century Fox Film Corporation
35000000,74558115,Underworld Entertainment
1650000,305e5,Columbia Pictures Corporation
12000000,4922166,19 Entertainment
2000000,78898765,United Artists
2000000,78898765,Eon Productions
2000000,78898765,Danjaq
2000000,2506446,Miramax Films
2000000,2506446,Populist Pictures
2000000,2506446,Monophonic Inc.
100000000,202026112,Imagine Entertainment
100000000,202026112,Columbia Pictures Corporation
100000000,202026112,JC 23 Entertainment
16800000,2281089,River Road Entertainment
16800000,2281089,Edward R. Pressman Film
16800000,2281089,Iron Film
50000000,48169156,Caravan Pictures
50000000,48169156,Hollywood Pictures
50000000,48169156,First Independent Films
50000000,48169156,Largo Entertainment
50000000,48169156,Scott Free Productions
50000000,48169156,Trap-Two-Zero Productions
175000000,302469017,Paramount Pictures
175000000,302469017,Spyglass Entertainment
175000000,302469017,Di Bonaventura Pictures
175000000,302469017,Hasbro
175000000,302469017,Kontsept Film Company
5500000,4865e3,Marimark Productions
45000000,90683916,DreamWorks SKG
45000000,90683916,Gran Via Productions
22000000,77737889,Columbia Pictures
22000000,77737889,Goldcrest Films International
22000000,77737889,Indo-British
22000000,77737889,International Film Investors
22000000,77737889,National Film Development Corporation of India
22000000,77737889,Carolina Bank
100000000,193772504,Miramax Films
100000000,193772504,Initial Entertainment Group (IEG)
100000000,193772504,Alberto Grimaldi Productions
2500000,26781723,Fox Searchlight Pictures
2500000,26781723,Double Feature Films
2500000,26781723,Jersey Films
2500000,26781723,Camelot Pictures
2500000,26781723,Large's Ark Productions
50000000,200804534,Twentieth Century Fox Film Corporation
50000000,200804534,Davis Entertainment
50000000,200804534,Twentieth Century Fox Animation
36000000,12532777,Columbia Pictures
36000000,12532777,Jersey Films
2000000,78e5,Twentieth Century Fox Film Corporation
63600000,19412993,Franchise Pictures
63600000,19412993,Warner Bros.
63600000,19412993,Morgan Creek Productions
63600000,19412993,The Canton Company
2400000,5731103,Columbia Pictures
2400000,5731103,40 Acres & A Mule Filmworks
40000000,46442528,Paramount Pictures
40000000,46442528,MTV Films
40000000,46442528,Cent Productions Inc.
30250000,115101622,Jersey Films
30250000,115101622,Metro-Goldwyn-Mayer (MGM)
80000000,230685453,Village Roadshow Pictures
80000000,230685453,Atlas Entertainment
80000000,230685453,Mosaic Media Group
80000000,230685453,Mad Chance
80000000,230685453,Warner Bros.
80000000,230685453,WV Films IV
80000000,230685453,Mel's Cite du Cinema
80000000,230685453,Callahan Filmworks
22000000,505e6,Paramount Pictures
110000000,228738393,Columbia Pictures Corporation
110000000,228738393,Relativity Media
110000000,228738393,Michael De Luca Productions
110000000,228738393,Marvel Enterprises
110000000,228738393,Crystal Sky Pictures
110000000,228738393,GH One
110000000,228738393,Vengeance Productions Pty. Ltd.
35000000,68349884,Village Roadshow Pictures
35000000,68349884,NPV Entertainment
35000000,68349884,Dark Castle Entertainment
35000000,68349884,Warner Bros.
35000000,68349884,Ghost Ship Films Pty. Ltd.
28000000,14010832,Screen Gems
28000000,14010832,Storm King Productions
28000000,14010832,Animationwerks
12000000,4939939,Fox Searchlight Pictures
12000000,4939939,40 Acres & A Mule Filmworks
103000000,457640427,DreamWorks SKG
103000000,457640427,Universal Pictures
103000000,457640427,Scott Free Productions
103000000,457640427,Red Wagon Entertainment
103000000,457640427,Mill Film
103000000,457640427,C & L
103000000,457640427,Dawliz
12500000,10725228,New Line Cinema
12500000,10725228,GGR
12500000,10725228,Zupnik Cinema Group II
22000000,5271666,Twentieth Century Fox Film Corporation
22000000,5271666,Laurence Mark Productions
22000000,5271666,Columbia Pictures Corporation
22000000,5271666,Glitter Productions
22000000,5271666,Maroon Entertainment
18000000,26828365,TriStar Pictures
18000000,26828365,Freddie Fields Productions
6500000,28451622,Columbia Pictures
56000000,12923936,Warner Bros. Pictures
56000000,12923936,Turner Pictures
56000000,12923936,Antietam Filmworks
10000000,6451628,Lions Gate Films
10000000,6451628,Flashpoint (I)
10000000,6451628,Showtime Networks
25000000,30114487,Lions Gate Films
25000000,30114487,2929 Productions
25000000,30114487,Artists Production Group (APG)
25000000,30114487,Blue Productions
32000000,42045846,New Line Cinema
32000000,42045846,Offspring Entertainment
58000000,352194034,United Artists
58000000,352194034,Eon Productions
2500000,124881062,United Artists
2500000,124881062,Eon Productions
2500000,124881062,Danjaq
90000000,237202299,Jerry Bruckheimer Films
90000000,237202299,Touchstone Pictures
4000000,400176459,Selznick International Pictures
4000000,400176459,Metro-Goldwyn-Mayer (MGM)
25000000,59192128,Lionsgate
25000000,59192128,Karz Entertainment
13000000,123922370,Silver Screen Partners III
13000000,123922370,Touchstone Pictures
7000000,546e5,2929 Productions
7000000,546e5,Participant Productions
7000000,546e5,Warner Independent Pictures (WIP)
7000000,546e5,Davis Films
7000000,546e5,Section Eight Productions
7000000,546e5,Redbus Pictures
7000000,546e5,Tohokushinsha
10000000,225933435,Miramax Films
10000000,225933435,Lawrence Bender Productions
10000000,225933435,Be Gentlemen Limited Partnership
19800000,87754044,USA Films
14000000,5108820,Village Roadshow Pictures
14000000,5108820,NPV Entertainment
14000000,5108820,Warner Bros.
14000000,5108820,Outlaw Productions (I)
40000000,141591324,Columbia Pictures Corporation
40000000,141591324,Dark Castle Entertainment
40000000,141591324,Warner Bros.
9000000,2955039,Elevation Filmworks
9000000,2955039,Ursa Major Films LLC
33000000,269958228,Village Roadshow Pictures
33000000,269958228,Malpaso Productions
33000000,269958228,Gerber Pictures
33000000,269958228,Warner Bros.
33000000,269958228,Double Nickel Entertainment
33000000,269958228,Matten Productions
33000000,269958228,WV Films IV
6000000,181813770,Paramount Pictures
6000000,181813770,Robert Stigwood Organization (RSO)
11000000,153083102,Amblin Entertainment
11000000,153083102,Warner Bros.
50000000,41482207,Amblin Entertainment
50000000,41482207,Warner Bros.
30000000,41480851,Columbia Pictures
67000000,25037897,Big Talk Productions
67000000,25037897,Yer Dead Productions
67000000,25037897,"Weinstein Company, The"
67000000,25037897,Dimension Films
67000000,25037897,Troublemaker Studios
67000000,25037897,Dartmouth International
67000000,25037897,Eyetronics
67000000,25037897,Rodriguez International Pictures
14600000,70906973,Columbia Pictures
35000000,68915888,Columbia Pictures
35000000,68915888,Regency Enterprises
35000000,68915888,3 Arts Entertainment
35000000,68915888,Tall Trees Productions
112000000,237382724,Twentieth Century Fox Film Corporation
112000000,237382724,Dune Entertainment
112000000,237382724,Davis Entertainment
112000000,237382724,Dune Entertainment III
10000000,1631839,Hollywood Pictures
10000000,1631839,Fortis Films
20000000,7563728,United Artists
20000000,7563728,Suftley
50000000,90450008,New Line Cinema
50000000,90450008,Ingenious Film Partners
50000000,90450008,Offspring Entertainment
50000000,90450008,Zadan / Meron Productions
8000000,17460020,Universal Pictures
700000,4911725,Thinkfilm
700000,4911725,Hunting Lane Films
700000,4911725,Journeyman Pictures
700000,4911725,Original Media
700000,4911725,Silverwood Films
700000,4911725,Traction Media
300000,7e7,Compass International Pictures
300000,7e7,Falcon International Productions
5000000,17768757,Dimension Films
15000000,39421467,Dimension Films
15000000,39421467,Spectacle Entertainment Group
15000000,39421467,Trancas International Films
2500000,144e5,Universal Pictures
13000000,37664855,Dimension Films
5000000,15116634,Miramax Films
150000000,624029371,Columbia Pictures
150000000,624029371,Weed Road Pictures
150000000,624029371,Forward Pass
150000000,624029371,Relativity Media
150000000,624029371,Overbrook Entertainment
150000000,624029371,Blue Light
150000000,624029371,GH Three
50000000,82169884,Ingenious Film Partners
50000000,82169884,ETIC Films
50000000,82169884,Quinta Communications
50000000,82169884,Dino De Laurentiis Company
50000000,82169884,Zephyr Films
50000000,82169884,Young Hannibal Productions
50000000,82169884,Carthago Films S.a.r.l.
47000000,38085778,Vanguard Films
47000000,38085778,Lionsgate
47000000,38085778,Odyssey
47000000,38085778,Nitrogen Studios Canada
3000000,2807390,Killer Films
3000000,2807390,Good Machine
100000000,384335608,Kennedy Miller Productions
100000000,384335608,Animal Logic
12000000,41205099,Universal Pictures
12000000,41205099,Brillstein-Grey Entertainment
12000000,41205099,Robert Simonds Productions
1700000,1943649,Miramax Films
1700000,1943649,Marked Entertainment
950000,7022209,Vulcan Productions Inc.
23000000,7434726,Metro-Goldwyn-Mayer (MGM)
23000000,7434726,Krisjair
23000000,7434726,Laredo
12000000,43493123,New Line Cinema
9000000,23936908,New Line Cinema
3500000,12e6,Warner Bros.
100000000,876688482,1492 Pictures
100000000,876688482,Heyday films
100000000,876688482,Warner Bros.
150000000,895921036,Patalex IV Productions Limited
150000000,895921036,Warner Bros.
150000000,895921036,Heyday Films
150000000,938212738,Warner Bros.
150000000,938212738,Heyday Films
2000000,5967038,The Weinstein Company
70000000,32287044,David Foster Productions
70000000,32287044,Cheyenne Enterprises
70000000,32287044,Metro-Goldwyn-Mayer (MGM)
70000000,32287044,David Ladd Films
25000000,21567853,40 Acres & A Mule Filmworks
25000000,21567853,Touchstone Pictures
40000000,177259441,New Line Cinema
40000000,177259441,Flower Films (II)
40000000,177259441,Internationale Filmproduktion Blackswan
14000000,10424470,Universal Studios
10000000,2154696,Universal Pictures
31000000,24185781,Castle Rock Entertainment
44000000,3484331,United Artists
44000000,3484331,The Criterion Collection
5000000,3049135,WingNut Films
5000000,3049135,Miramax Films
5000000,3049135,New Zealand Film Commission
5000000,3049135,Fontana Productions
8900000,41e5,Emmett/Furla Films
8900000,41e5,Silver Plane Films
8900000,41e5,Mass Hysteria Entertainment
8900000,41e5,Tri Vision Pictures
3950000,8e6,The Caddo Company
66000000,99318987,Revolution Studios
66000000,99318987,Dark Horse Entertainment
66000000,99318987,Lawrence Gordon Productions
66000000,99318987,Starlite Films
85000000,160388063,Universal Pictures
85000000,160388063,Dark Horse Entertainment
85000000,160388063,Lawrence Gordon Productions
85000000,160388063,Mid Atlantic Films
85000000,160388063,Relativity Media
85000000,160388063,Internationale Filmproduktion Eagle
1000000,14564027,New World Pictures
1000000,14564027,Cinemarque Entertainment BV
1000000,14564027,Film Futures
1000000,14564027,Rivdel Films
50000000,66002004,Walt Disney Pictures
50000000,66002004,Robert Simonds Productions
100000000,2434e5,Paramount Pictures
100000000,2434e5,Metro-Goldwyn-Mayer (MGM)
100000000,2434e5,Radical Studios
100000000,2434e5,Flynn Picture Company
100000000,108103450,Casey Silver Productions
100000000,108103450,Touchstone Pictures
100000000,108103450,Dune Films
25000000,122644820,Twentieth Century Fox Film Corporation
25000000,122644820,Fox 2000 Pictures
25000000,122644820,Josephson Entertainment
25000000,122644820,MBC Beteiligungs Filmproduktion
3400000,31063038,Twentieth Century Fox Film Corporation
3400000,31063038,Crossbow Productions
30000000,47126295,Buena Vista
30000000,47126295,Touchstone Pictures
730000,8e6,United Artists
730000,8e6,Stanley Kramer Productions
5500000,157e5,Universal Pictures
5500000,157e5,Malpaso Productions
16000000,59e5,Davis-Panzer Productions
16000000,59e5,Thorn EMI Screen Entertainment
25000000,15843608,Davis-Panzer Productions
25000000,15843608,Dimension Films
11000000,31672907,Twentieth Century Fox Film Corporation
11000000,31672907,Brooksfilms
70000000,368100420,Columbia Pictures Corporation
70000000,368100420,Overbrook Entertainment
28000000,39514713,Walt Disney Pictures
95000000,190213455,Columbia Pictures Corporation
95000000,190213455,Global Entertainment Productions GmbH & Company Medien KG
75000000,51142659,Columbia Pictures
75000000,51142659,Revolution Studios
18000000,476684675,Twentieth Century Fox Film Corporation
18000000,476684675,Hughes Entertainment
18000000,358991681,Twentieth Century Fox Film Corporation
18000000,358991681,Hughes Entertainment
15000000,10443316,Warner Bros.
15000000,10443316,Baltimore Pictures
15000000,10443316,Kasdan Pictures
110000000,103951461,Walt Disney Pictures
18000000,62646763,Universal Pictures
18000000,62646763,Marc Platt Productions
18000000,62646763,NuAmerica Entertainment
15000000,51053787,The Weinstein Company
15000000,51053787,Kanbar Entertainment
15000000,51053787,Blue Yonder Films
70000000,300854823,Amblin Entertainment
70000000,300854823,TriStar Pictures
700000,7830611,Fine Line Features
700000,7830611,Kartemquin Films
30000000,114281051,Columbia Pictures
30000000,114281051,Mandate Pictures
30000000,114281051,Escape Artists
30000000,114281051,Management 360
30000000,114281051,Metro-Goldwyn-Mayer (MGM)
52000000,77944725,Miramax Films
52000000,77944725,Cheyenne Enterprises
52000000,77944725,Yari Film Group
52000000,77944725,Stratus Film Co.
52000000,77944725,Syndicate Films International
52000000,77944725,Equity Pictures Medienfonds GmbH & Co. KG II
52000000,77944725,Hostage GmbH
4800000,80578934,International Production Company
4800000,80578934,Raw Nerve
4800000,80578934,Lionsgate
4800000,80578934,Next Entertainment
4800000,80578934,Screen Gems
4800000,80578934,Hostel LLC
10200000,35619521,Lions Gate Films
10200000,35619521,Next Entertainment
10200000,35619521,Screen Gems
12000000,80573774,Universal Pictures
12000000,80573774,Big Talk Productions
12000000,80573774,StudioCanal
12000000,80573774,GAGA
12000000,80573774,Working Title Films
17500000,38e6,Lions Gate Films
17500000,38e6,United Artists
17500000,38e6,Industrial Development Corporation of South Africa
17500000,38e6,Endgame Entertainment
17500000,38e6,Miracle Pictures
17500000,38e6,Sixth Sense Productions
17500000,38e6,Mikado Film
17500000,38e6,Inside Track Films
7000000,16829545,Universal Pictures
7000000,16829545,Spectacle Entertainment Group
16500000,16942795,DreamWorks SKG
16500000,16942795,Cobalt Media Group
16500000,16942795,Bisgrove Entertainment
40000000,68766121,Village Roadshow Pictures
40000000,68766121,Dark Castle Entertainment
40000000,68766121,Warner Bros.
19000000,40846082,Dark Castle Entertainment
19000000,40846082,Warner Bros.
1250000,6e6,Twentieth Century Fox Film Corporation
12000000,31155435,Universal Pictures
12000000,31155435,Jersey Films
12000000,31155435,Native Pictures Productions
20000000,37672350,Twentieth Century Fox Film Corporation
123000000,345141403,Imagine Entertainment
123000000,345141403,Universal Pictures
50000000,177371441,Paramount Pictures
27000000,17286299,UK Film Council
27000000,17286299,Intandem Films
27000000,17286299,Aramid Entertainment Fund
27000000,17286299,Film4
27000000,17286299,Lipsync Productions
27000000,17286299,Number 9 Films
37000000,37962774,Lucasfilm
37000000,37962774,Universal Pictures
2500000,1e7,Paramount Pictures
65000000,17218080,TriStar Pictures
65000000,17218080,Silver Pictures
600000,4e6,Irish Screen
8000000,23563727,MTV Films
150000000,585349010,Village Roadshow Pictures
150000000,585349010,Original Film
150000000,585349010,Weed Road Pictures
150000000,585349010,Warner Bros.
150000000,585349010,Heyday Films
150000000,585349010,Overbrook Entertainment
22000000,92542418,New Line Cinema
17000000,125586134,Columbia Pictures Corporation
17000000,125586134,Mandalay Entertainment
17000000,125586134,Summer Knowledge LLC
250,203,Bill Plympton Studios
65000000,40002112,Columbia Pictures
65000000,40002112,Mandalay Entertainment
65000000,40002112,Summer Knowledge LLC
20000000,4001121,Endgame Entertainment
20000000,4001121,Rising Star
20000000,4001121,Killer Films
20000000,4001121,John Wells Productions
20000000,4001121,Dreamachine
20000000,4001121,Film & Entertainment VIP Medienfonds 4 GmbH & Co. KG (I)
20000000,4001121,Grey Water Park Productions
20000000,4001121,John Goldwyn Productions
20000000,4001121,Wells Productions
59000000,383257136,Twentieth Century Fox Film Corporation
59000000,383257136,Blue Sky Studios
59000000,383257136,Twentieth Century Fox Animation
80000000,660940780,Blue Sky Studios
80000000,660940780,Twentieth Century Fox Animation
25000000,27645491,Walt Disney Pictures
25000000,27645491,Bridget Johnson Films
25000000,27645491,Skate Away Productions
30000000,90259536,Konrad Pictures
30000000,90259536,Columbia Pictures Corporation
30000000,495303,Twentieth Century Fox Film Corporation
30000000,495303,Ternion Pictures
25000000,4152230,Columbia Pictures Corporation
25000000,4152230,Team Todd
25000000,4152230,Licht/Mueller Film Corporation
9000000,4777465,United Artists
15000000,34533783,Blueprint Pictures
15000000,34533783,Scion Films
15000000,34533783,Film4
15000000,34533783,Focus Features
15000000,34533783,Twins Financing
3500000,13007551,Columbia Pictures Corporation
3500000,13007551,Pax Enterprises
12000000,23,Pathe Productions
12000000,23,Red Turtle
10000000,175e5,Castle Rock Entertainment
10000000,175e5,Land Films Inc.
10000000,175e5,Anonymous Content
23000000,29541790,Summit Entertainment
23000000,29541790,Blackfriars Bridge Films
23000000,29541790,NALA Films
23000000,29541790,Samuels Media
23000000,29541790,Warner Independent Pictures (WIP)
7000000,14011454,Suntaur Entertainment Company
75000000,816969268,Twentieth Century Fox Film Corporation
75000000,816969268,Centropolis Entertainment
185000000,786636033,Lucasfilm
185000000,786636033,Paramount Pictures
48000000,474171806,Lucasfilm
48000000,474171806,Paramount Pictures
28000000,333e6,Lucasfilm
28000000,333e6,Paramount Pictures
13000000,1151330,Killer Films
13000000,1151330,Longfellow Pictures
13000000,1151330,Warner Independent Pictures (WIP)
13000000,1151330,Jack and Henry Productions Inc.
45000000,184376254,Imagine Entertainment
45000000,184376254,Universal Pictures
45000000,184376254,40 Acres & A Mule Filmworks
46000000,113714830,Section Eight
46000000,113714830,Alcon Entertainment
46000000,113714830,Witt/Thomas Productions
50000000,44434439,Columbia Pictures Corporation
50000000,44434439,Mandalay Pictures
50000000,44434439,Metro-Goldwyn-Mayer (MGM)
15000000,56255142,Paramount Vantage
15000000,56255142,River Road Entertainment
15000000,56255142,Art Linson Productions
15000000,56255142,Into the Wild
60000000,119940815,Imagine Entertainment
60000000,119940815,Universal Pictures
60000000,119940815,Mike Zoss Productions
60000000,119940815,Alphaville Productions
12000000,4884663,Cannon Pictures
55000000,14375181,Columbia Pictures
36000000,3003296,Universal Pictures
36000000,3003296,Mutual Film Company
36000000,3003296,Toho Company
36000000,3003296,British Broadcasting Corporation (BBC)
36000000,3003296,Marubeni
36000000,3003296,Tele München Fernseh Produktionsgesellschaft (TMG)
36000000,3003296,Lobell/Bergman Productions
325000,45e5,Columbia Pictures Corporation
3180000,9644124,RKO Radio Pictures
3180000,9644124,Liberty Films (II)
11000000,72778712,Paramount Pictures
5000000,64282312,Paramount Pictures
5000000,64282312,MTV Films
5000000,64282312,Dickhouse Productions
5000000,64282312,Lynch Siderow Productions
12000000,39673162,Miramax Films
72000000,96889998,Universal Pictures
72000000,96889998,Neal Street Productions
72000000,96889998,Red Wagon Entertainment
72000000,96889998,Motion Picture KAPPA Produktionsgesellschaft
3000000,15938065,New Line Cinema
3000000,15938065,Sean S. Cunningham Films
11000000,16951798,New Line Cinema
11000000,16951798,Sean S. Cunningham Films
11000000,16951798,Crystal Lake Entertainment
3000000,3076820,TriStar Pictures
3000000,3076820,Crossroads Films
3000000,3076820,Kramer-Tornell Productions
7000000,470654e3,Universal Pictures
7000000,470654e3,Zanuck/Brown Productions
23000000,51881013,Universal Pictures
22000000,33788161,Dimension Films
22000000,33788161,View Askew Productions
22000000,33788161,Miramax
10000000,59217789,United Artists
10000000,59217789,American Zoetrope
10000000,59217789,Cinerenta Medienbeteiligungs KG
10000000,59217789,Cinerenta-Cinebeta
10000000,59217789,VCL Communications
14000000,2474e3,Merchant Ivory Productions
14000000,2474e3,Touchstone Pictures
50000000,273552592,Gracie Films
50000000,273552592,TriStar Pictures
35000000,36098382,Miramax Films
35000000,36098382,Beverly Detroit
35000000,36098382,View Askew Productions
35000000,36098382,Close Call Films
40000000,205405498,Camelot Productions
40000000,205405498,Canal Plus Group
40000000,205405498,Ixtlan Productions
40000000,205405498,Warner Bros.
25000000,80936232,Nickelodeon Movies
25000000,80936232,Universal Cartoon Studios
25000000,80936232,Paramount Animation
60000000,129832389,Twentieth Century Fox Film Corporation
60000000,129832389,1492 Pictures
60000000,66976317,Columbia Pictures
60000000,66976317,Gaumont
17700000,30987695,Columbia Pictures
17700000,30987695,Happy Madison Productions
36000000,102244770,New Line Cinema
36000000,102244770,Burg/Koules Productions
36000000,102244770,Evolution Entertainment
40000000,160583018,Universal Pictures
40000000,160583018,StudioCanal
45000000,101702060,New Line Cinema
45000000,101702060,Walden Media
23000000,36642838,Regency Enterprises
23000000,36642838,Epsilon Motion Pictures
23000000,36642838,LivePlanet
23000000,36642838,New Regency Pictures
23000000,36642838,Bad Robot
3000000,1e7,United Artists
3000000,1e7,Roxlom Films
85000000,222231186,Dune Entertainment
85000000,222231186,Hypnotic
85000000,222231186,New Regency Pictures
7500000,231411584,Fox Searchlight Pictures
7500000,231411584,Mandate Pictures
63000000,9201e5,Universal Pictures
63000000,9201e5,Amblin Entertainment
