budget,revenue,company
80000000,5989640,Scenario Lane Productions
1800000,8e6,Charles K. Feldman Group
1800000,8e6,Warner Bros.
40000000,152266007,Regency Enterprises
40000000,152266007,Warner Bros.
30000000,152427960,Eon Productions
11000000,41227069,DiNovi Pictures
11000000,41227069,Pandora Pictures
11000000,41227069,Gaylord Films
11000000,41227069,Warner Bros.
25000000,10719357,Paramount Pictures
25000000,10719357,Spyglass Entertainment
25000000,10719357,Touchstone Pictures
27000000,129e6,Universal Pictures
30000000,105834556,New Line Cinema
30000000,105834556,Avery Pix
50000000,50068310,Columbia Pictures
50000000,50068310,Castle Rock Entertainment
50000000,50068310,Malpaso Productions
15000000,107217396,Warner Bros.
15000000,107217396,Morgan Creek Productions
30000000,212385533,O Entertainment
30000000,212385533,Morgan Creek Productions
7000000,20256975,Silver Pictures
7000000,20256975,Lorimar Motion Pictures
19000000,32801173,Beverly Detroit
19000000,32801173,Propaganda Films
19000000,32801173,Clinica Estetico
19000000,32801173,Intermedia
19000000,32801173,Good Machine
19000000,32801173,Magnet Productions
60000000,61347797,New Line Cinema
60000000,61347797,Contrafilm
60000000,61347797,Firm Films
39000000,6614280,Paramount Pictures
39000000,6614280,Cort/Madden Productions
39000000,6614280,ATR Films
39000000,6614280,MMP Erste Filmproduktions
39000000,6614280,Moviemakers Productions (MMP)
28000000,58795814,Splendid Pictures
28000000,58795814,Maverick Films
28000000,58795814,Metro-Goldwyn-Mayer (MGM)
28000000,58795814,Dylan Sellers Productions
28000000,58795814,Madacy Entertainment
26000000,28818995,Splendid Pictures
26000000,28818995,Maverick Films
26000000,28818995,Metro-Goldwyn-Mayer (MGM)
26000000,28818995,Dylan Sellers Productions
26000000,28818995,Madacy Entertainment
3000000,23144499,Walt Disney Pictures
85000000,315156409,Columbia Pictures Corporation
85000000,315156409,Beacon Communications
85000000,315156409,Radiant Productions
3500000,83453539,Paramount Pictures
8000000,18948425,Lions Gate Films
8000000,18948425,2929 Productions
8000000,18948425,Out of the Blue... Entertainment
8000000,18948425,Starbucks Entertainment
8000000,18948425,Cinema Gypsy Productions
30000000,15368897,Epsilon Motion Pictures
30000000,15368897,Franchise Pictures
30000000,15368897,Escape Artists
30000000,15368897,Reiner / Greisman Productions
155000000,167298192,France 3 Cinéma
155000000,167298192,Intermedia Films
155000000,167298192,Pathé Renn Productions
155000000,167298192,Egmond Film & Television
155000000,167298192,Warner Bros.
155000000,167298192,Pacifica Film
155000000,167298192,IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG
155000000,167298192,WR Universal Group
60000000,13395939,Paramount Pictures
60000000,13395939,Patalex Productions
107000000,87713825,Columbia Pictures Corporation
200000000,1025491110,Walt Disney Pictures
200000000,1025491110,Team Todd
200000000,1025491110,Tim Burton Productions
200000000,1025491110,Roth Films
200000000,1025491110,"Zanuck Company, The"
70000000,162e6,Twentieth Century Fox Film Corporation
70000000,162e6,Brandywine Productions
18500000,183316455,Twentieth Century Fox Film Corporation
18500000,183316455,SLM Production Group
18500000,183316455,Brandywine Productions
32000000,36733909,Paramount Pictures
32000000,36733909,Touchstone Pictures
14000000,25482931,New Line Cinema
60000000,47383689,Columbia Pictures
60000000,47383689,Vinyl Films
60000000,47383689,DreamWorks Pictures
20000000,10442808,Boll Kino Beteiligungs GmbH & Co. KG
20000000,10442808,Brightlight Pictures
20000000,10442808,Herold Productions
20000000,10442808,Lionsgate
20000000,10442808,Infogrames Entertainment
42000000,171963386,Jersey Films
42000000,171963386,Loofah Productions
60000000,361366633,Dune Entertainment
60000000,361366633,Regency Enterprises
60000000,361366633,Fox 2000 Pictures
60000000,361366633,Bagdasarian Productions
18000000,51973029,Warner Bros.
15000000,356296601,DreamWorks SKG
15000000,356296601,Jinks/Cohen Company
100000000,266465037,Imagine Entertainment
100000000,266465037,Universal Pictures
100000000,266465037,Scott Free Productions
100000000,266465037,Relativity Media
100000000,266465037,Film Rites
777000,14e7,Lucasfilm
777000,14e7,Universal Pictures
777000,14e7,The Coppola Company
20000000,23875127,New Line Cinema
20000000,23875127,The Turman-Morrissey Company
20000000,23875127,Savoy Pictures
35000000,13678913,Morgan Creek Productions
11000000,235483004,Universal Pictures
11000000,235483004,Summit Entertainment
11000000,235483004,Newmarket Capital Group
11000000,235483004,Zide-Perry Productions
7000000,34266564,Lions Gate Films
